	date	temperatureInCelcius
107	2026-06-07 11:00:00+00:00	19.278
108	2026-06-07 12:00:00+00:00	19.528
109	2026-06-07 13:00:00+00:00	19.627998
110	2026-06-07 14:00:00+00:00	19.727999
111	2026-06-07 15:00:00+00:00	19.678
112	2026-06-07 16:00:00+00:00	19.578
113	2026-06-07 17:00:00+00:00	19.278
114	2026-06-07 18:00:00+00:00	18.877998
115	2026-06-07 19:00:00+00:00	18.178
116	2026-06-07 20:00:00+00:00	17.127998
117	2026-06-07 21:00:00+00:00	15.928
118	2026-06-07 22:00:00+00:00	14.828
119	2026-06-07 23:00:00+00:00	13.978
120	2026-06-08 00:00:00+00:00	13.528
121	2026-06-08 01:00:00+00:00	13.528
122	2026-06-08 02:00:00+00:00	13.878
123	2026-06-08 03:00:00+00:00	14.428
124	2026-06-08 04:00:00+00:00	15.178
125	2026-06-08 05:00:00+00:00	16.028
126	2026-06-08 06:00:00+00:00	16.977999
127	2026-06-08 07:00:00+00:00	18.127998
128	2026-06-08 08:00:00+00:00	19.528
129	2026-06-08 09:00:00+00:00	21.078
130	2026-06-08 10:00:00+00:00	22.578
131	2026-06-08 11:00:00+00:00	23.877998
132	2026-06-08 12:00:00+00:00	24.778
133	2026-06-08 13:00:00+00:00	25.328
134	2026-06-08 14:00:00+00:00	25.627998
135	2026-06-08 15:00:00+00:00	25.727999
136	2026-06-08 16:00:00+00:00	25.627998
137	2026-06-08 17:00:00+00:00	25.428
138	2026-06-08 18:00:00+00:00	25.078
139	2026-06-08 19:00:00+00:00	24.528
140	2026-06-08 20:00:00+00:00	23.778
141	2026-06-08 21:00:00+00:00	22.828
142	2026-06-08 22:00:00+00:00	21.828
143	2026-06-08 23:00:00+00:00	20.928
144	2026-06-09 00:00:00+00:00	20.178
145	2026-06-09 01:00:00+00:00	19.528
146	2026-06-09 02:00:00+00:00	18.877998
147	2026-06-09 03:00:00+00:00	18.278
148	2026-06-09 04:00:00+00:00	17.778
149	2026-06-09 05:00:00+00:00	17.428
150	2026-06-09 06:00:00+00:00	17.328
151	2026-06-09 07:00:00+00:00	17.528
152	2026-06-09 08:00:00+00:00	18.028
153	2026-06-09 09:00:00+00:00	18.678
154	2026-06-09 10:00:00+00:00	19.328
155	2026-06-09 11:00:00+00:00	19.877998
156	2026-06-09 12:00:00+00:00	20.127998
157	2026-06-09 13:00:00+00:00	20.127998
158	2026-06-09 14:00:00+00:00	19.977999
159	2026-06-09 15:00:00+00:00	19.678
160	2026-06-09 16:00:00+00:00	19.328
161	2026-06-09 17:00:00+00:00	18.877998
162	2026-06-09 18:00:00+00:00	18.428
163	2026-06-09 19:00:00+00:00	17.877998
164	2026-06-09 20:00:00+00:00	17.178
165	2026-06-09 21:00:00+00:00	16.428
166	2026-06-09 22:00:00+00:00	15.728
167	2026-06-09 23:00:00+00:00	15.078
168	2026-06-03 00:00:00+00:00	30.786999
169	2026-06-03 01:00:00+00:00	30.437
170	2026-06-03 02:00:00+00:00	30.187
171	2026-06-03 03:00:00+00:00	29.987
172	2026-06-03 04:00:00+00:00	29.937
173	2026-06-03 05:00:00+00:00	30.087
174	2026-06-03 06:00:00+00:00	30.487
175	2026-06-03 07:00:00+00:00	31.387
176	2026-06-03 08:00:00+00:00	32.737
177	2026-06-03 09:00:00+00:00	34.287
178	2026-06-03 10:00:00+00:00	35.787
179	2026-06-03 11:00:00+00:00	36.836998
180	2026-06-03 12:00:00+00:00	37.237
181	2026-06-03 13:00:00+00:00	36.737
182	2026-06-03 14:00:00+00:00	35.637
183	2026-06-03 15:00:00+00:00	34.086998
184	2026-06-03 16:00:00+00:00	32.437
185	2026-06-03 17:00:00+00:00	30.887
186	2026-06-03 18:00:00+00:00	29.786999
187	2026-06-03 19:00:00+00:00	29.036999
188	2026-06-03 20:00:00+00:00	28.437
189	2026-06-03 21:00:00+00:00	28.036999
190	2026-06-03 22:00:00+00:00	27.687
191	2026-06-03 23:00:00+00:00	27.437
192	2026-06-04 00:00:00+00:00	27.237
193	2026-06-04 01:00:00+00:00	27.036999
194	2026-06-04 02:00:00+00:00	26.837
195	2026-06-04 03:00:00+00:00	26.786999
196	2026-06-04 04:00:00+00:00	26.837
197	2026-06-04 05:00:00+00:00	27.137
198	2026-06-04 06:00:00+00:00	27.786999
199	2026-06-04 07:00:00+00:00	29.036999
200	2026-06-04 08:00:00+00:00	30.837
201	2026-06-04 09:00:00+00:00	32.937
202	2026-06-04 10:00:00+00:00	34.887
203	2026-06-04 11:00:00+00:00	36.437
204	2026-06-04 12:00:00+00:00	37.237
205	2026-06-04 13:00:00+00:00	37.137
206	2026-06-04 14:00:00+00:00	36.387
207	2026-06-04 15:00:00+00:00	35.237
208	2026-06-04 16:00:00+00:00	33.836998
209	2026-06-04 17:00:00+00:00	32.437
210	2026-06-04 18:00:00+00:00	31.237
211	2026-06-04 19:00:00+00:00	30.137
212	2026-06-04 20:00:00+00:00	28.887
213	2026-06-04 21:00:00+00:00	27.637
214	2026-06-04 22:00:00+00:00	26.536999
215	2026-06-04 23:00:00+00:00	25.587
216	2026-06-05 00:00:00+00:00	24.987
217	2026-06-05 01:00:00+00:00	24.687
218	2026-06-05 02:00:00+00:00	24.637
219	2026-06-05 03:00:00+00:00	24.786999
220	2026-06-05 04:00:00+00:00	25.137
221	2026-06-05 05:00:00+00:00	25.687
222	2026-06-05 06:00:00+00:00	26.387
223	2026-06-05 07:00:00+00:00	27.487
224	2026-06-05 08:00:00+00:00	29.036999
225	2026-06-05 09:00:00+00:00	30.786999
226	2026-06-05 10:00:00+00:00	32.487
227	2026-06-05 11:00:00+00:00	33.887
228	2026-06-05 12:00:00+00:00	34.737
229	2026-06-05 13:00:00+00:00	35.037
230	2026-06-05 14:00:00+00:00	34.987
231	2026-06-05 15:00:00+00:00	34.637
232	2026-06-05 16:00:00+00:00	34.086998
233	2026-06-05 17:00:00+00:00	33.437
234	2026-06-05 18:00:00+00:00	32.737
235	2026-06-05 19:00:00+00:00	31.887
236	2026-06-05 20:00:00+00:00	30.737
237	2026-06-05 21:00:00+00:00	29.487
238	2026-06-05 22:00:00+00:00	28.237
239	2026-06-05 23:00:00+00:00	27.187
240	2026-06-06 00:00:00+00:00	26.487
241	2026-06-06 01:00:00+00:00	26.137
242	2026-06-06 02:00:00+00:00	26.036999
243	2026-06-06 03:00:00+00:00	26.137
244	2026-06-06 04:00:00+00:00	26.337
245	2026-06-06 05:00:00+00:00	26.587
246	2026-06-06 06:00:00+00:00	26.786999
247	2026-06-06 07:00:00+00:00	26.987
248	2026-06-06 08:00:00+00:00	27.286999
249	2026-06-06 09:00:00+00:00	27.587
250	2026-06-06 10:00:00+00:00	27.937
251	2026-06-06 11:00:00+00:00	28.237
252	2026-06-06 12:00:00+00:00	28.536999
253	2026-06-06 13:00:00+00:00	28.837
254	2026-06-06 14:00:00+00:00	29.187
255	2026-06-06 15:00:00+00:00	29.536999
256	2026-06-06 16:00:00+00:00	29.837
257	2026-06-06 17:00:00+00:00	30.036999
258	2026-06-06 18:00:00+00:00	30.087
259	2026-06-06 19:00:00+00:00	29.937
260	2026-06-06 20:00:00+00:00	29.637
261	2026-06-06 21:00:00+00:00	29.237
262	2026-06-06 22:00:00+00:00	28.786999
263	2026-06-06 23:00:00+00:00	28.337
264	2026-06-07 00:00:00+00:00	27.937
265	2026-06-07 01:00:00+00:00	27.487
266	2026-06-07 02:00:00+00:00	26.887
267	2026-06-07 03:00:00+00:00	26.337
268	2026-06-07 04:00:00+00:00	25.887
269	2026-06-07 05:00:00+00:00	25.737
270	2026-06-07 06:00:00+00:00	26.036999
271	2026-06-07 07:00:00+00:00	26.987
272	2026-06-07 08:00:00+00:00	28.587
273	2026-06-07 09:00:00+00:00	30.437
274	2026-06-07 10:00:00+00:00	32.237
275	2026-06-07 11:00:00+00:00	33.687
276	2026-06-07 12:00:00+00:00	34.487
277	2026-06-07 13:00:00+00:00	34.487
278	2026-06-07 14:00:00+00:00	33.937
279	2026-06-07 15:00:00+00:00	32.987
280	2026-06-07 16:00:00+00:00	31.887
281	2026-06-07 17:00:00+00:00	30.837
282	2026-06-07 18:00:00+00:00	30.036999
283	2026-06-07 19:00:00+00:00	29.387
284	2026-06-07 20:00:00+00:00	28.737
285	2026-06-07 21:00:00+00:00	28.137
286	2026-06-07 22:00:00+00:00	27.587
287	2026-06-07 23:00:00+00:00	27.137
288	2026-06-08 00:00:00+00:00	26.786999
289	2026-06-08 01:00:00+00:00	26.536999
290	2026-06-08 02:00:00+00:00	26.286999
291	2026-06-08 03:00:00+00:00	26.137
292	2026-06-08 04:00:00+00:00	26.187
293	2026-06-08 05:00:00+00:00	26.437
294	2026-06-08 06:00:00+00:00	26.987
295	2026-06-08 07:00:00+00:00	28.137
296	2026-06-08 08:00:00+00:00	29.837
297	2026-06-08 09:00:00+00:00	31.837
298	2026-06-08 10:00:00+00:00	33.637
299	2026-06-08 11:00:00+00:00	34.987
300	2026-06-08 12:00:00+00:00	35.487
301	2026-06-08 13:00:00+00:00	34.887
302	2026-06-08 14:00:00+00:00	33.487
303	2026-06-08 15:00:00+00:00	31.587
304	2026-06-08 16:00:00+00:00	29.487
305	2026-06-08 17:00:00+00:00	27.637
306	2026-06-08 18:00:00+00:00	26.337
307	2026-06-08 19:00:00+00:00	25.536999
308	2026-06-08 20:00:00+00:00	25.036999
309	2026-06-08 21:00:00+00:00	24.687
310	2026-06-08 22:00:00+00:00	24.487
311	2026-06-08 23:00:00+00:00	24.387
312	2026-06-09 00:00:00+00:00	24.387
313	2026-06-09 01:00:00+00:00	24.387
314	2026-06-09 02:00:00+00:00	24.487
315	2026-06-09 03:00:00+00:00	24.687
316	2026-06-09 04:00:00+00:00	25.036999
317	2026-06-09 05:00:00+00:00	25.536999
318	2026-06-09 06:00:00+00:00	26.237
319	2026-06-09 07:00:00+00:00	27.337
320	2026-06-09 08:00:00+00:00	28.837
321	2026-06-09 09:00:00+00:00	30.536999
